"Zuccini", 71.78, 606
"Frutilla", 265.23, 288
"Ciruela", 975.99, 927
"Acelga", 14.81, 756
"Acelga", 18.47, 783
"Kinoto", 38.70, 218
"Pomelo", 40.54, 837
"Esparrago", 677.88, 238
"Palta", 504.18, 430
"Naranja", 22.10, 830
"Mandarina", 19.75, 1110
"Apio", 68.54, 240
"Lechuga", 40.42, 837
"Mandarina", 15.99, 1100
"Melon", 113.03, 472
"Uva", 676.82, 294
"Calabaza", 22.68, 664
"Lima", 1224.12, 192
"Frutilla", 301.66, 360
"Durazno", 161.92, 776
"Pomelo", 43.24, 747
"Naranja", 10.69, 830
"Caqui", 871.65, 114
"Calabaza", 14.35, 792
"Mandarina", 21.09, 1150
"Champignon", 3531.87, 90
"Rabanito", 234.23, 303
"TomCherry", 549.15, 208
"Coliflor", 27.73, 590
"Repollo", 7.13, 581
"Ciruela", 983.20, 1062
"Ciruela", 972.64, 999
"Frutilla", 300.81, 309
"Coliflor", 27.55, 550
"Rabanito", 238.09, 243
"Brocoli", 364.46, 356
"Lima", 1234.07, 198
"Durazno", 279.94, 864
"Choclo", 46.22, 303
"Higo", 2490.04, 112
"Zuccini", 80.95, 576
"Naranja", 19.99, 1160
"Lechuga", 53.97, 900
"Choclo", 50.29, 252
"Acelga", 19.85, 1062
"Palta", 489.96, 470
"Limon", 326.65, 588
"Sandia", 50.96, 747
"Melon", 119.33, 424
"Champignon", 3533.82, 106
"Cebolla", 72.34, 808
"Choclo", 34.91, 348
"Palta", 1162.26, 348
"Apio", 50.83, 243
"Lima", 1372.38, 210
"Sandia", 56.90, 1044
"Uva", 677.00, 339
"Lima", 1391.54, 230
"Naranja", 17.62, 1040
"Pera", 138.22, 980
"Lima", 1329.93, 226
"Pomelo", 39.95, 747
"Higo", 2575.14, 103
"TomCherry", 555.46, 196
"Tomate", 779.64, 738
"Lechuga", 42.36, 1053
"Kiwi", 454.35, 372
"Lima", 1037.52, 208
"Esparrago", 631.89, 160
"Limon", 337.95, 735
"Champignon", 3638.14, 97
"Lechuga", 47.24, 882
"Caqui", 831.88, 103
"Frambuesa", 1979.81, 108
"Higo", 2463.44, 117
"Lima", 1195.65, 166
"Repollo", 4.61, 581
"Lechuga", 50.96, 828
"Calabaza", 26.75, 816
"Banana", 66.05, 850
"Morron", 3005.85, 594
"TomCherry", 531.46, 226
"Ajo", 860.96, 106
"Naranja", 7.62, 810
"Kinoto", 29.41, 214
"Palta", 496.68, 475
"Caqui", 863.26, 101
"Durazno", 284.52, 872
"Ajo", 973.89, 115
"Kiwi", 448.01, 388
"Banana", 73.24, 1130
"Choclo", 58.06, 288
"Caqui", 842.29, 80
"Tomate", 751.57, 774
"Palta", 1140.41, 400
"Cereza", 1038.51, 230
"Caqui", 864.75, 119
"Apio", 56.82, 318
"Brocoli", 355.38, 360
"Alcachofa", 140.42, 318
"Higo", 2476.37, 97
"Pepino", 23.54, 550
"Banana", 68.61, 810
"Mandarina", 33.23, 980
"Banana", 72.22, 830
"Caqui", 822.90, 112
"Palta", 503.04, 430
"Alcachofa", 145.70, 252
"Zuccini", 94.49, 564
"Alcachofa", 160.26, 348
"Palta", 483.68, 585
"Papa", 22.59, 850
"Cebolla", 65.38, 728
"Berenjena", 55.28, 510
"Uva", 764.34, 249
"Ciruela", 942.00, 774
"Champignon", 3643.42, 117
"Lechuga", 41.85, 729
"Pepino", 27.62, 575
"Cebolla", 53.53, 888
"Naranja", 15.49, 1010
"Mandarina", 14.66, 970
"Frutilla", 297.87, 360
"Pomelo", 29.79, 1053
"Batata", 17.64, 870
"Limon", 335.52, 693
"Lechuga", 42.34, 909
"Lima", 1213.09, 180
"Lechuga", 26.22, 792
"Cereza", 1040.09, 218
"Cereza", 1009.66, 186
"Kinoto", 34.73, 202
"Berenjena", 59.27, 522
"Cebolla", 61.90, 728
"Sandia", 74.26, 873
"Lechuga", 43.63, 792
"Lechuga", 37.50, 765
"Cebolla", 65.05, 760
"Manzana", 152.92, 1080
"Batata", 26.26, 860
"Acelga", 27.47, 891
"Ciruela", 991.95, 936
"Durazno", 257.61, 776
"Lima", 1352.06, 190
"Choclo", 47.66, 297
"Mandarina", 20.46, 1120
"Choclo", 55.58, 300
"Manzana", 128.76, 890
"Calabaza", 11.64, 736
"Durazno", 152.37, 936
"Repollo", 4.43, 826
"Lechuga", 47.93, 1053
"Cebolla", 57.49, 792
"Lima", 1286.24, 176
"Ajo", 918.46, 96
"Acelga", 20.09, 801
"Kiwi", 447.95, 480
"Sandia", 56.64, 837
"Kiwi", 435.17, 448
"Cereza", 963.49, 212
"Ajo", 893.85, 85
"Esparrago", 613.61, 202
"Durazno", 147.30, 768
"Cereza", 1003.87, 190
"Zanahoria", 35.10, 678
"Coliflor", 33.38, 505
"Ajo", 911.12, 109
"Papa", 17.14, 1150
"Cereza", 1042.81, 186
"Naranja", 17.21, 830
"Kinoto", 30.61, 190
"Banana", 66.55, 1050
"Pera", 146.89, 1080
"Melon", 116.54, 432
"Higo", 2517.64, 97
"Ajo", 881.47, 86
"Cereza", 1008.54, 198
"Mandarina", 14.60, 820
"Papa", 21.83, 1100
"Morron", 2921.77, 582
"Apio", 48.90, 345
"Limon", 316.80, 658
"Palta", 478.42, 470
"Cebolla", 62.92, 832
"Mandarina", 26.40, 1080
"Zanahoria", 36.81, 600
"Durazno", 131.58, 728
"Alcachofa", 144.01, 282
"Higo", 2484.77, 87
"Esparrago", 642.51, 206
"TomCherry", 548.96, 238
"Champignon", 3631.30, 113
"Durazno", 146.11, 688
"Mandarina", 23.91, 930
"Cebolla", 58.60, 656
"Uva", 737.75, 246
"Brocoli", 366.39, 436
"Zuccini", 94.57, 582
"Brocoli", 366.40, 380
"Kiwi", 422.26, 424
"Pera", 154.39, 910
"Lechuga", 32.63, 729
"Champignon", 3696.73, 85
"Esparrago", 609.26, 182
"Lechuga", 39.80, 819
"Ciruela", 989.32, 738
"Cereza", 1016.32, 184
"Cebolla", 56.54, 912
"Apio", 66.14, 246
"Repollo", 5.62, 798
"Pepino", 28.93, 505
"Cereza", 1026.93, 182
"Naranja", 16.74, 920
"Cereza", 1047.71, 180
"Pepino", 37.37, 450
"Uva", 669.20, 351
"Berenjena", 52.61, 636
"Lima", 1208.12, 174
"Sandia", 63.97, 954
"Apio", 72.63, 261
"Brocoli", 319.53, 388
"Sandia", 68.08, 801
"Frambuesa", 2133.77, 119
"Papa", 19.93, 1160
"Melon", 115.29, 416
"Choclo", 61.09, 300
"Frambuesa", 2065.32, 109
"Tomate", 778.32, 801
"Calabaza", 27.81, 736
"Lima", 1226.11, 238
"TomCherry", 566.83, 170
"Calabaza", 23.32, 944
"Lima", 1015.64, 186
"Coliflor", 22.43, 440
"Banana", 55.69, 850
"Coliflor", 32.91, 530
"Calabaza", 27.36, 752
"Repollo", 6.99, 595
"Apio", 57.75, 309
"Frambuesa", 2001.82, 117
"Ajo", 927.18, 119
"Calabaza", 16.93, 960
"Naranja", 7.87, 1090
"Limon", 324.62, 595
"Cebolla", 63.73, 800
"Repollo", 8.40, 840
"Durazno", 276.50, 936
"Frambuesa", 2058.15, 90
"Frutilla", 288.67, 285
"Acelga", 15.38, 1071
"Zanahoria", 39.76, 516
"Frambuesa", 2076.27, 100
"Durazno", 179.77, 952
"Berenjena", 57.86, 600
"Tomate", 759.82, 783
"Uva", 714.85, 336
"Brocoli", 378.68, 408
"Zanahoria", 31.88, 516
"Choclo", 67.16, 258
"Frutilla", 285.94, 330
"Esparrago", 628.55, 168
"Durazno", 127.06, 640
"Rabanito", 235.06, 279
"Uva", 708.24, 297
"Lima", 1077.20, 182
"Durazno", 174.26, 736
"Durazno", 164.83, 928
"Kinoto", 19.02, 168
"Choclo", 51.28, 282
"Ciruela", 961.98, 900
"Acelga", 19.06, 837
"Palta", 1134.79, 320
"Frambuesa", 2100.08, 87
"Frambuesa", 2055.39, 96
"TomCherry", 534.14, 228
"Pera", 153.46, 1040
"Manzana", 153.70, 990
"Durazno", 155.78, 912
"Durazno", 151.55, 880
"Esparrago", 598.97, 164
"Cebolla", 65.04, 824
"Caqui", 867.14, 94
"Ciruela", 993.36, 1053
"Lima", 1374.98, 216
"Uva", 728.43, 351
"Cebolla", 59.72, 960
"Champignon", 3565.07, 109
"Apio", 68.39, 333
"Cebolla", 60.11, 816
"Naranja", 6.24, 1100
"Coliflor", 33.89, 470
"Alcachofa", 135.06, 300
"Pomelo", 46.25, 909
"Batata", 22.81, 1010
"Limon", 296.43, 756
"Naranja", 20.70, 810
"Limon", 312.92, 770
"Ciruela", 974.46, 756
"Lima", 1044.76, 202
"Higo", 2542.37, 108
"Limon", 337.43, 581
"Coliflor", 32.04, 470
"Brocoli", 374.07, 424
"Durazno", 123.27, 640
"Lima", 1181.18, 182
"Lima", 1029.09, 200
"Berenjena", 63.01, 714
"Cebolla", 64.55, 824
"Banana", 63.61, 970
"Durazno", 134.10, 960
"Kinoto", 31.24, 162
"Kinoto", 35.95, 176
"Mandarina", 18.43, 1130
"Melon", 103.62, 468
"Kinoto", 36.10, 198
"Coliflor", 38.17, 595
"Acelga", 14.75, 756
"Melon", 106.43, 352
"Cereza", 958.12, 160
"Lechuga", 39.43, 765
